Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Durchschnittliche Balance der Bodenkontaktzeit,Ø Trittfrequenz,Max. Trittfrequenz,Training Stress Score®,Ø Leistung,Max. Leistung,Grit,Flow,Züge insgesamt,Ø Swolf,Ø Schlagrate,Wiederholungen insgesamt,Sätze insgesamt,Routen insgesamt,Kletterzeit,Pausenzeit insgesamt,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Radfahren,2022-11-09 07:51:12,false,"Würzburg Radfahren","4,97","148","00:18:08","122","146","1,2","0","0","16,5","37,9","38","55","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","18:07.55.7","1","0,0","00:14:57","00:18:08","158","187"
HIIT,2022-11-07 19:24:52,false,"HIIT","0,00","815","01:43:36","145","191","4,0","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","13","1","--","--","--","0:00","22,0","0:00","Nein","01:43:35.69.6","1","0,0","01:43:36","01:43:36","--","--"
Gravel/Offroad-Radfahren,2022-11-06 16:10:29,false,"Würzburg Gravel/Offroad-Radfahren","22,28","779","01:17:44","149","185","3,6","0","0","17,2","53,1","394","393","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","05:35.69.9","5","0,0","01:16:44","01:18:00","221","362"
Krafttraining,2022-11-04 18:22:16,false,"Krafttraining B","0,00","416","01:03:55","120","157","1,9","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","276","23","--","--","--","0:00","21,0","0:00","Nein","01:03:54.97.9","1","0,0","00:34:29","01:11:55","--","--"
Radfahren,2022-11-04 17:49:42,false,"Würzburg Radfahren","5,26","104","00:16:12","112","128","0,6","0","0","19,5","33,6","42","25","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","15,0","0:00","Nein","01:07.36.3","2","0,0","00:15:18","00:22:45","154","194"
Radfahren,2022-11-04 14:50:01,false,"Würzburg Radfahren","4,81","108","00:13:40","120","138","0,8","0","0","21,1","37,2","30","71","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","13:40.21.1","1","0,0","00:13:37","00:13:40","201","248"
Radfahren,2022-11-04 12:10:16,false,"Würzburg Radfahren","4,00","93","00:14:19","110","139","0,6","0","0","16,8","30,0","84","9","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","14:19.03.6","1","0,0","00:13:42","00:14:19","186","267"
Radfahren,2022-11-02 09:44:38,false,"Würzburg Radfahren","4,48","138","00:17:46","120","145","1,0","0","0","15,1","26,7","38","12","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","17:46.38.9","1","0,0","00:15:13","00:17:46","177","204"
Krafttraining,2022-11-02 08:15:03,false,"Krafttraining A","0,00","441","01:06:00","121","152","2,0","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","281","25","--","--","--","0:00","21,0","0:00","Nein","01:06:00.18.1","1","0,0","00:32:32","01:06:00","--","--"
Radfahren,2022-11-02 07:49:45,false,"Würzburg Radfahren","4,97","112","00:16:06","114","132","0,7","0","0","18,5","103,9","61","46","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","15,0","0:00","Nein","16:05.65.1","1","0,0","00:14:38","00:16:06","187","208"
Radfahren,2022-11-01 21:01:19,false,"Würzburg Radfahren","2,77","75","00:09:39,6","117","139","0,6","0","0","17,2","50,8","68","40","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","09:39.58","1","0,0","00:08:33","00:10:04","188","221"
